API_Name,Category,Followers,
Twitter API,Social,2315,
Flickr API,Photos,809,
Amazon Product Advertising API,mmerce,1242,
Last.fm API,Music,708,
Microsoft Bing Maps API,Mapping,416,
Google App Engine API,Tools,262,
Google Gadgets API,Widgets,160,
Amazon S3 API,Storage,285,
GeoNames API,Reference,541,
Box API,ntent,236,
LinkedIn API,Social,1488,
Instagram Graph API,Photos,1183,
Google Analytics Managment API,Analytics,222,
Panoramio API,Photos,145,
Facebook Graph API,Social,475,
indeed API,Jobs,779,
Google AdWords API,Advertising,158,
Google Calendar API,lendars,501,
geocoder API,Mapping,217,
MusicBrainz API,Music,225,
Bit.ly API,URL Shortener,262,
Google Picasa API,Photos,257,
Google Geocoding API,Mapping,157,
Yahoo Term Extraction API,Search,117,
NationBuilder API,Social,42,
FriendFeed API,Other,76,
Zillow API,Real Estate,484,
Vimeo API,Video,435,
Google Visualization API,Other,155,
Etsy API,mmerce,129,
Shopzilla API,mmerce,321,
Google Plus API,Social,241,
OpenStreetMap API,Mapping,1032,
Google Maps Places API,Mapping,287,
Zazzle API,mmerce,82,
FedEx API,Shipping,843,
Yahoo Traffic API,Transportation,97,
Heroku API,loud,30,
DBpedia API,Wiki,180,
Amazon Marketplace Web Service API,mmerce,224,
Thomson Reuters Open Calais API,Tagging,101,
MailChimp API,Email,141,
Rhapsody API,Music,39,
DonorsChoose API,Education,50,
Google Drive API,Storage,117,
Evernote API,Personal Information Management,114,
Google Contacts API,Other,145,
Smugmug API,Photos,27,
Google Maps Elevation API,Mapping,158,
Google Books API,Reference,306,
USPS Track/Confirm Fields API,Shipping,255,
Google Gmail OAuth API,Email,102,
Best Buy Products API,mmerce,137,
Disqus API,Blogging,33,
CNET API,mmerce,99,
UPS Shipping API,Shipping,325,
CityGrid API,mmerce,146,
Multimap API,Mapping,18,
Yahoo Map Image API,Mapping,23,
AT&T In-App Messaging API,Messaging,31,
Groupon API,mmerce,454,
Google OpenID API,Security,111,
Goodreads API,Books,217,
Simply Hired Jobs API,Jobs,189,
COLOURlovers API,Tools,52,
Yahoo Related Suggestions API,Search,29,
Amazon Mechanical Turk API,Other,46,
i2space API,Travel,21,
Stripe API,Payments,123,
Rovi Cloud Services API,Entertainment,52,
Google Latitude API,Mapping,79,
World Weather Online API,Weather,282,
Discogs API,Music,305,
Google Single SignOn API,Security,61,
Finansportalen API,Feeds,13,
iTunes & App Store Search API,Media,68,
The Movie Database (TMDb) API,Entertainment,397,
Meetup API,Social,84,
Hoiio SMS API,Messaging,29,
Mendeley API,Science,69,
Your Mapper API,Mapping,44,
What The Trend? API,Social,42,
Kiva API,Financial,41,
Jaduka API,Telephony,26,
23 API,Photos,65,
WordPress.org API,Blogging,37,
Dailymotion API,Video,98,
Google Fonts API,Fonts,43,
Amazon RDS Relational Database Service API,Database,39,
CareerBuilder API,Jobs,316,
Twitter Search API,Search,93,
Veoh API,Video,57,
geocoder.ca API,Mapping,15,
Page2Images API,Screenshots,18,
Edmunds.com Vehicle API,Reference,73,
WordPress.com API,Blogging,46,
Thrutu API,Telephony,4,
Aviary Effects API,Photos,43,
Google Shopping Search API,mmerce,120,
7digital API,Music,150,
BigCommerce API,mmerce,32,
Songkick API,Music,241,
The New York Times Newswire API,News Services,70,
Mobypicture API,Photos,12,
Zemanta API,Blogging,169,
IVA Video API,Video,70,
True Knowledge API,Search,51,
Microsoft Silverlight Streaming API,Other,23,
Aonaware Dictionary API,Reference,86,
Alexa Top Sites API,SEO,86,
Microsoft MapPoint API,Mapping,25,
Ning API,Social,68,
Walmart Open API,mmerce,93,
Zapier API,Tools,63,
500px API,Photos,66,
Bing Translator API,Tools,12,
PicPlz API,Photos,14,
Google URL Shortener API,URL Shortener,56,
KooKoo API,Telephony,30,
Yellow API,Search,27,
Zappos API,mmerce,134,
Factual v3 API,Database,56,
Rezgo API,Travel,39,
Maponics API,Mapping,93,
Shizzow API,Social,10,
LongURL API,,27,
Blip.fm API,Music,44,
Yahoo Internet Location Platform API,Mapping,12,
Amazon Fulfillment Web Service API,mmerce,79,
Widgetbox API,Widgets,30,
Google Apps Email Migration API,Email,44,
OpenSocial API,Social,63,
Adobe on AIR Bus Tour API,Other,8,
WebThumb API,,19,
30 Boxes API,lendars,95,
US Stocks Fundamentals API,Stocks,174,
Dansk Supermarked API,API,12,
Uber API,Transportation,280,
Jawbone UP API,Tools,47,
Walgreens QuickPrints API,Photos,17,
RubyGems API,Reference,3,
Bing Maps Search API,Mapping,14,
Google Distance Matrix API,Mapping,110,
iFixit API,Reference,14,
Bandcamp API,Music,122,
Biblia.com API,Reference,59,
Sears API,mmerce,55,
Twitgoo API,Social,9,
sletoh.com API,Travel,62,
Yahoo GeoPlanet API,Mapping,20,
zanox API,Advertising,36,
FlightStats API,Data,619,
Thumbalizr API,Photos,29,
openDada API,Music,6,
BookMooch API,Other,24,
Friendster API,Social,66,
Ipernity API,Media,17,
Yahoo Search Marketing API,Advertising,19,
SNOCAP API,Music,13,
Follow The Money API,Government,39,
Naver API,Search,36,
Yahoo Ads API,Advertising,39,
Internet Archive API,Library,62,
Amazon Queue Service API,Messaging,12,
NCBI Entrez API,Medical,39,
Telegram Bot API,Bots,88,
Webhose.io API,Search,50,
Developer Garden IP Location API,Localization,5,
Coinkite API,Financial,18,
Images API,Photos,19,
SEMrush API,Search,41,
Coinbase API,Financial,109,
ImpossibleFX API,Video,26,
Analytics SEO API,Search,33,
LyricFind API,Music,215,
Blekko API,Search,33,
Buffer API,Social,162,
Library of Congress Prints & Photographs API,Media,16,
Zomato Foodie Index API,Food,312,
PDXCouncilConnect API,Government,4,
Google Page Speed Online API,Web Site Management,26,
BreweryDB API,Reference,87,
QuickBooks Payments API,Payments,42,
ChannelAdvisor API,mmerce,48,
New Relic API,Analytics,18,
Geoloqi API,Mapping,21,
Imgur API,Photos,16,
Plum Fuse API,Telephony,10,
Yolink API,Search,7,
Payments Gateway API,Payments,17,
MotorsportReg.com API,Sports,54,
ImageShack API,Media,22,
Xero API,Financial,72,
Enthusem API,Marketing,54,
Layar API,Other,51,
Wolfram Alpha API,Reference,164,
Norway Weather API,Weather,129,
Ergast API,Sports,207,
PostalMethods API,Messaging,15,
Geograph API,Geography,15,
LibraryThing API,Reference,44,
Ordnance Survey Maps API,Mapping,14,
Yandex API,Search,62,
We Feel Fine API,Other,20,
Windows Live Data API,Security,10,
Oracle NetSuite API,Enterprise,128,
Windows Sidebar Gadgets API,Widgets,17,
Blinksale API,Financial,18,
Microsoft adCenter API,Advertising,25,
Skyhook Precision Location API,Location,58,
Weblogs API,Blogging,5,
SplogSpot API,Search,6,
Digital Podcast API,Music,56,
WhatsApp Business API,Business,174,
Booking.com Content API,Booking,287,
Autodesk Forge OAuth API,Authentication,6,
WinSMS API,Messaging,14,
Travel Portal API,Travel,52,
Pinterest API,Images,165,
Information Machine API,mmerce,54,
Mozscape API,Marketing,21,
Bittrex API,ptocurrency,61,
Wahoo Fitness API,Fitness,24,
iHealth API,Medical,87,
Ahrefs API,Backend,25,
Allmyles API,Travel,61,
ApartmentsApart API,Travel,25,
DatumBox API,Tools,15,
Highcharts Highstock API,Tools,9,
exfm API,Music,12,
Google Civic Information API,Government,30,
Behance API,Other,36,
DigitalOcean API,Storage,6,
SugarCRM API,Enterprise,32,
Google BigQuery API,Database,31,
Smart-IP Geo-IP API,Mapping,9,
FreightCenter API,Logistics,46,
FAROO API,Search,61,
LocalSchoolDirectory API,Reference,23,
QuickBlox API,Backend,137,
Translation Cloud API,Tools,12,
Endicia Label Server API,Shipping,21,
Semantria API,Tools,128,
Amazon DynamoDB API,Database,27,
AAA Cooper Transportation API,Shipping,26,
Juju Publisher API,Jobs,35,
PubNub JavaScript Push API,Messaging,11,
Bitcoin Charts / Markets API,Payments,35,
DealSurf API,mmerce,20,
eBay Best Match API,Search,16,
NYC Open Data API,Government,76,
Go Processing API,Payments,41,
Rackspace Cloud Files API,Storage,9,
Bing Maps Routes API,Mapping,48,
Sabre API,Travel,200,
PLoS Search API,Reference,18,
Google Cloud Print API,Office,69,
Google Tasks API,Personal Information Management,44,
Yummly API,Search,90,
Context.IO API,Email,23,
SMSMyBus API,Transportation,9,
Avvo API,Reference,56,
awe.sm API,Social,17,
Zotero API,Bookmarks,18,
SHOUTcast Radio API,Reference,339,
Zenfolio API,Photos,5,
Plancast API,Social,14,
Softonic API,Reference,10,
Tiny-URL Open API,Tools,21,
MapQuest Geocoding API,Mapping,167,
ShareASale Affiliate API,Other,26,
Mailgun API,Email,25,
Brighter Planet CM1 API,Environment,29,
Elance API,Jobs,39,
MapMyFitness API,Fitness,63,
Mapfluence API,Mapping,51,
Mobile Phone Megastore API,mmerce,121,
HipChat API,hat,46,
OneLogin API,Security,124,
LinkUp Job Search Engine API,Jobs,91,
Recurly API,Payments,10,
Google Translator Toolkit API,Tools,73,
Viralheat API,Social,23,
Playme API,Music,43,
Whois API,Domains,117,
Drawloop API,Office,14,
WiserEarth API,Other,21,
Pixlr API,Photos,72,
Brightcove API,Video,13,
Stupeflix API,Video,16,
BatchBook API,Enterprise,13,
Spore API,Games,9,
pho.to API,Photos,41,
ArtBeat API,Events,21,
Wikia API,Search,14,
WorldCat Search API,Reference,23,
Kewego Video API,Video,11,
Web API for Biology API,Medical,19,
Australian Business Number Lookup API,Government,28,
Reuters Spotlight API,News Services,58,
World Time Engine API,,58,
Ohloh API,Social,30,
MindTouch Deki Wiki API,Wiki,9,
Carma API,Other,21,
Kyte API,Video,5,
SpokenBuzz API,Telephony,3,
IMified API,hat,19,
ViaMichelin API,Travel,140,
StrikeIron SMS Mobile Marketing API,Messaging,7,
Phanfare API,Media,4,
Pingdom API,,13,
StrikeIron US Census API,Reference,11,
MetaCarta API,Mapping,12,
Sparklines API,Other,5,
Tailrank API,Search,19,
Blogmarks API,Bookmarks,25,
Slack Incoming Webhooks API,Messaging,5,
DigitalOwl Text Similarity API,Natural Language Processing,4,
Phone Validator API,Telephony,2,
Amazon Alexa Proactive Events API,Internet of Things,1,
Coinpaprika API,ptocurrency,25,
CoinCap API,ptocurrency,11,
Amazon Alexa Skill Voice Service API,Hardware,10,
Mera Caar API,Auto,8,
Google Abusive Experience Report API,Web Site Management,2,
mesibo Client-side API,hat,5,
Google Assistant API,Voice,42,
PDF Generator API,PDF,23,
Abios Esports API,Sports,8,
Twilio DataTrack API,Messaging,3,
quantra API,Financial,8,
Alexa Skill Management API,Tools,14,
Home Assistant API,Home Automation,7,
Finalsite API,Education,4,
User Manuals API,Publishing,7,
uProc API,Data-as-a-Service,14,
Office 365 Service Communications API,Office,6,
SDK.finance API,Financial,28,
SAP Anywhere API,Business,15,
eBay Buy Browse API,mmerce,4,
The New York Times Archive API,News Services,22,
Coupomated Coupon DataFeed API,upons,24,
Unity Scripting API,Games,3,
"10,000ft API",Planning,5,
NASA Mars Rover Photos API,Science,28,
IP/Geo Data Lookup API,Location,13,
Kentico API,ntent Management,7,
Autodesk Forge Data Management API,Design,2,
Office 365 Service Communications API,Office,6,
SDK.finance API,Financial,28,
SAP Anywhere API,Business,15,
eBay Buy Browse API,mmerce,4,
The New York Times Archive API,News Services,22,
Coupomated Coupon DataFeed API,upons,24,
Unity Scripting API,Games,3,
"10,000ft API",Planning,5,
NASA Mars Rover Photos API,Science,28,
IP/Geo Data Lookup API,Location,13,
Kentico API,ntent Management,7,
Autodesk Forge Data Management API,Design,2,
Google My Business API,Location,35,
Microsoft Cognitive Services Emotion API,Recognition,26,
Serendipify.Me API,nversions,10,
Microsoft Azure Cognitive Services Bing Image Search API,Search,30,
GetSentiment API,Sentiment,14,
Money Push API,Financial,16,
MYOB Essentials Accounting API,Accounting,4,
Bundesliga Live Scores API,Sports,91,
Serpstat API,Search,13,
Voucherify API,upons,40,
ClickBank Analytics API,mmerce,3,
ClickBank Shipping API,mmerce,5,
Google My Business API,Location,35,
Microsoft Cognitive Services Emotion API,Recognition,26,
Serendipify.Me API,nversions,10,
Microsoft Azure Cognitive Services Bing Image Search API,Search,30,
GetSentiment API,Sentiment,14,
Money Push API,Financial,16,
MYOB Essentials Accounting API,Accounting,4,
Bundesliga Live Scores API,Sports,91,
Serpstat API,Search,13,
Voucherify API,upons,40,
ClickBank Analytics API,mmerce,3,
ClickBank Shipping API,mmerce,5,
Pinterest Mini API,Images,7,
Ontotext S4 Text Analytics API,Text,9,
Premier League Live Scores API,Sports,264,
Website Worth API,Web Site Management,15,
Unlimited Criminal Checks Offender API,ime,43,
Laravel API,Framework,30,
Google Maps Android API,Mapping,24,
Blockchain Receive Payments API,Payments,19,
SavePaise API,mmerce,23,
WindshieldRepair Tech Auto Glass API,Auto,9,
BBC Nitro API,Media,18,
Italy SerieA League Live and Historical Results API,Sports,39,
Pinterest Mini API,Images,7,
Ontotext S4 Text Analytics API,Text,9,
Premier League Live Scores API,Sports,264,
Website Worth API,Web Site Management,15,
Unlimited Criminal Checks Offender API,ime,43,
Laravel API,Framework,30,
Google Maps Android API,Mapping,24,
Blockchain Receive Payments API,Payments,19,
SavePaise API,mmerce,23,
WindshieldRepair Tech Auto Glass API,Auto,9,
BBC Nitro API,Media,18,
Italy SerieA League Live and Historical Results API,Sports,39,
Lightspeed Retail API,Sales,10,
HubSpot Companies API,Business,8,
Intellinote API,Project Management,12,
BusinessUSA Events API,Government,6,
RxNLP Text Similarity API,Text,12,
Zilyo Vacation Rental API,Travel,26,
ExamBuilder API,Testing,13,
Google PageSpeed Insights API,Performance,18,
Slack Real Time Messaging API,Messaging,28,
Google Fit REST API,Wearable,52,
HashedTags API,Social,39,
Google Analytics Core Reporting API,Reporting,22,
REFUGE Restrooms API,Healthcare,6,
Dropbox Datastore API,Data,11,
ServerPilot API,ntent Management,8,
Garmin Communicator Plugin API,Location,8,
Mist.io API,Web Site Management,17,
Resgrid API,llaboration,13,
Bike Index API,cling,16,
S3Bubble API,Streaming,11,
Cloud Elements Platform API,Software-as-a-Service,8,
TripAdvisor Content API,Travel,146,
Autodesk Forge Viewer API,Models,19,
Cronofy API,lendars,14,
REFUGE Restrooms API,Healthcare,6,
Dropbox Datastore API,Data,11,
ServerPilot API,ntent Management,8,
Garmin Communicator Plugin API,Location,8,
Mist.io API,Web Site Management,17,
Resgrid API,llaboration,13,
Bike Index API,cling,16,
S3Bubble API,Streaming,11,
Cloud Elements Platform API,Software-as-a-Service,8,
TripAdvisor Content API,Travel,146,
Autodesk Forge Viewer API,Models,19,
Cronofy API,lendars,14,
REFUGE Restrooms API,Healthcare,6,
Dropbox Datastore API,Data,11,
ServerPilot API,ntent Management,8,
Garmin Communicator Plugin API,Location,8,
Mist.io API,Web Site Management,17,
Resgrid API,llaboration,13,
Bike Index API,cling,16,
S3Bubble API,Streaming,11,
Cloud Elements Platform API,Software-as-a-Service,8,
TripAdvisor Content API,Travel,146,
Autodesk Forge Viewer API,Models,19,
Cronofy API,lendars,14,
Google Mirror API,loud,9,
Poloniex API,ptocurrency,72,
LinkedIn People Search API,Personal Information Management,92,
Paperboy API,News Services,28,
STAT!Ref API,Medicine,21,
Taxi Fare Finder API,Transportation,23,
PRINTR API,Printing,4,
NLP Tools API,Natural Language Processing,18,
Biblio Commons API,Library,5,
Team POPONG POODL API,Government,5,
FavQs API,Entertainment,15,
Beebotte API,Internet of Things,11,
Google Mirror API,loud,9,
Poloniex API,ptocurrency,72,
LinkedIn People Search API,Personal Information Management,92,
Paperboy API,News Services,28,
STAT!Ref API,Medicine,21,
Taxi Fare Finder API,Transportation,23,
PRINTR API,Printing,4,
NLP Tools API,Natural Language Processing,18,
Biblio Commons API,Library,5,
Team POPONG POODL API,Government,5,
FavQs API,Entertainment,15,
Beebotte API,Internet of Things,11,
Google Mirror API,loud,9,
Poloniex API,ptocurrency,72,
LinkedIn People Search API,Personal Information Management,92,
Paperboy API,News Services,28,
STAT!Ref API,Medicine,21,
Taxi Fare Finder API,Transportation,23,
PRINTR API,Printing,4,
NLP Tools API,Natural Language Processing,18,
Biblio Commons API,Library,5,
Team POPONG POODL API,Government,5,
FavQs API,Entertainment,15,
Beebotte API,Internet of Things,11,
USPS Package Services API,Shipping,10,
