Unnamed: 0,Software Engineering,"Web, Mobile, and Desktop Application ...",Artificial Intelligence,Special Technologies and Expertise Areas,APIs and Packages,Electrical and Mechanical Engineering,Other Skills
0,.Net,Ajax,Artificial Intelligence, Qtp/ Hp For Qa Testing,Ada Compliance,.Dxf Files,Actuate Espreadsheet
1,.Net Core,Amqp Messaging Queue,Autonomous Vehicles And Self Driving ...,.Obj Files,Adobe Air,Ansys,Amazon Elasticache
10,Ansible,Android Native App Development,Blueprism,3D Configurators (Verge3D),Amber Molecular Dynamics Software,Autocad,Amplitude
100,Apache Kafka,Android Studio,Computer Vision,3D Modeling,Apache Hadoop,Autodesk,Arduino
101,Apache Mesos,Angular,Data Mining,3Dmax,Aws Cloud Compliance,Digital Manufacturing,Arm
102,Applescript,Apollo Graphql,Deep Learning,Adobe Creative Cloud,Biopython,Hypermesh,Asana
103,Arrays,Asp.Net,Drones,Adobe Illustrator,Blockchain Api,Intel X86,Autosys
104,Assembly,Babel Js,Keras,Adobe Premiere Pro,Chatfuel,Labview,Aws
105,Bash,Backbone,Knime,Adobe Xd,D3,Matlab,Aws Cloudfront
106,C,Big Table,Machine Learning,Affinity Design,Facebook Api,Medical Devices,Aws Dynamodb
107,C#,Bootstrap,Natural Language Processing,Agile,Finance Cloud Compliance,Rfid,Aws Ec2
108,C++,Bubble,Ocr,Amazon Lumberyard,Github Api,Risc-V,Aws Ecr
109,Clojure,Bulma,Probabilistic Graphical Models,Android Wear,Google Api,Solidworks,Aws Elastic Beanstalk
11,Cobol,Cassandra,Pytorch,Apache Jmeter,Google Computer Vision Api,Spice (Ic Design),Aws Elasticmapreduce
110,Compilers,Chai,Quadrocopters,Apache Spark,Google Maps Api,Verilog,Aws Elasticsearch
111,Couchdb,Chartjs,Reinforcement Learning,Apex,Google Nlp Api,Vhdl,Aws Iot
112,Css,Chef,Robotics,Appium For Qa Testing,Government Cloud Compliance (Us Dod),,Aws Key Management Service
113,Dart,Chrome Extension Development,Rpa,Augmented Reality Ar,Hipaa Cloud Compliance,,Aws Lambda
114,Debuggers,Cocoa,Speech Recognition,Autodesk Maya,Mailchimp Api,,Aws Rds
115,Devsecops,Contentful,Torch,Autodesk Revit,Mapbox,,Aws Redshift
116,Docker,Continuous Integration,Uipath,Bioinformatics,Matplotlib,,Aws S3
117,Elixir,Cordova,,Blockchain,Microsoft Office Api,,Azure
118,Erlang,Couchbase,,Browser Automation,Numpy,,Blue State Digital
119,Fortran,Css Flex,,Bugzilla,Pandas,,Cloud Foundry
12,Git,Css Preprocessors,,Canva,Paypal Api,,Cocoon
120,Go,Cucumber,,Chatbots,Phone2Action,,Drools
121,Haskell,Data Semantic Layers,,Civis,Pyqt5,,Eclipse
122,Html,Datadog Cloud Monitoring,,Cloud Migration,Python Selenium,,Electronic Health Records
123,Http,Dbt,,Computational Linguistics,Rapidapi,,Embedded Software
124,J2Ee,Developer Experience (Devex),,Coreldraw,Ripple Api,,Excel
125,Java,Devops,,Cpanel,Scikit-Learn,,Firebase
126,Javascript,Django,,Crafter Cms,Selenium,,Fmea Analysis
127,Jenkins,Drupal,,Cryengine,Sendgrid Api,,Google Cloud
128,Jsx,Dynamodb,,Cyber Security,Sequelize,,Heroku
129,Kotlin,Ecma,,Data Analytics,Slack Api,,Hibernate
13,Lisp,Ecmascript,,Data Engineering,Socket.Io,,Ibm Cloud Watson
130,Magento,Electron,,Data Science,Stripe Api,,Jira
131,Metal Graphics,Elm,,Data Visualization,Tensorflow,,Linux
132,Microsoft Directx,Ember.Js,,Decentralized Systems,Twilio Api,,Macos
133,Mpi Library,Expo,,Defi,Twitter Apis,,Microcontrollers
134,Mvc,Expressjs,,Design Modo,Vega,,Microsoft Project
135,Nosql,Firefox Extension Development,,Distributed Memory Systems,Vega Lite,,Multithreaded Programming
136,Objective C,Flask,,Distributed Systems,Zoho Development,,Oracle Bi
137,Opengl,Flow Js,,Emr Software,,,Oscache
138,Openshift,Flutter,,Ethereum,,,Pareto Analysis
139,Performance Tools,Flux,,Etl Extract Transform Load,,,Pest Analysis
14,Perl,G Suite,,Final Cut Pro,,,Plotly
140,Php,Gatsby,,Fogbuz,,,Prisma
141,Postgis,Google Analytics,,Fourier Transforms,,,Product Management
142,Python,Google Lighthouse,,Framer X,,,Qgis
143,Qml,Google Rail Model,,Gdpr Compliance,,,Quality Assurance Qa
144,Regex,Google Scripts,,Genomics,,,Raspberry Pi
145,Rest,Google Tag Manager,,Gimp,,,Rtos
146,Ruby,Graphql,,Gis,,,Sap
147,Rust,Grind Rocks For Node,,Gltf 3D Scenes,,,Silverpop
148,Sass,Interaction Design,,Gmail Add-Ons,,,Soap
15,Scala,Internet Explorer Extension Development,,Google Cloud (Gcp) Composer ,,,Sockets
16,Singularity Containerization,Invision,,Google Sketchup,,,Spring
17,Sql,Ionic,,Gpu Accelerators,,,Swot Analysis
18,Ssis,Ios Native App Development,,Grafana Visualization Software,,,Tableau
19,Uml Diagrams,Jasmine,,Graphic Design,,,Terraform
2,Unix,Joomla,,Hackintosh,,,Trello
20,Vba,Jquery,,Hadoop,,,Ux Research
21,Webassembly,Karma,,Hashicorp Vault,,,Voc Strategy Analysis
22,Webrtc,Knockoutjs,,Hp Quality Centre,,,Windows
23,Xml,Laravel,,Hpc Architectures,,,Xslt
24,,Mac Application Development,,Hyperledger,,,
25,,Mariadb,,Ibm Db2,,,
