,items,has_more,quota_max,quota_remaining
0,"{'aliases': ['http://www.stackoverflow.com', 'http://facebook.stackoverflow.com'], 'styling': {'tag_background_color': '#E0EAF1', 'tag_foreground_color': '#3E6D8E', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.stackoverflow', 'site_url': 'https://meta.stackoverflow.com', 'name': 'Meta Stack Overflow'}, {'relation': 'chat', 'site_url': 'https://chat.stackoverflow.com', 'name': 'Stack Overflow Chat'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1221436800, 'open_beta_date': 1217462400, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/stackoverflow/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon.png', 'audience': 'professional and enthusiast programmers', 'site_url': 'https://stackoverflow.com', 'api_site_parameter': 'stackoverflow', 'logo_url': 'https://cdn.sstatic.net/Sites/stackoverflow/Img/logo.png', 'name': 'Stack Overflow', 'site_type': 'main_site'}",True,300,62
1,"{'styling': {'tag_background_color': '#F3F1D9', 'tag_foreground_color': '#444444', 'link_color': '#10456A'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.serverfault', 'site_url': 'https://meta.serverfault.com', 'name': 'Meta Server Fault'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=serverfault.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1243296000, 'open_beta_date': 1241049600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/serverfault/Img/apple-touch-icon@2.png', 'twitter_account': 'ServerFault', 'favicon_url': 'https://cdn.sstatic.net/Sites/serverfault/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/serverfault/Img/apple-touch-icon.png', 'audience': 'system and network administrators', 'site_url': 'https://serverfault.com', 'api_site_parameter': 'serverfault', 'logo_url': 'https://cdn.sstatic.net/Sites/serverfault/Img/logo.png', 'name': 'Server Fault', 'site_type': 'main_site'}",True,300,62
2,"{'styling': {'tag_background_color': '#FFFFFF', 'tag_foreground_color': '#1087A4', 'link_color': '#1086A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.superuser', 'site_url': 'https://meta.superuser.com', 'name': 'Meta Super User'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=superuser.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1250553600, 'open_beta_date': 1247529600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon@2.png', 'twitter_account': 'super_user', 'favicon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon.png', 'audience': 'computer enthusiasts and power users', 'site_url': 'https://superuser.com', 'api_site_parameter': 'superuser', 'logo_url': 'https://cdn.sstatic.net/Sites/superuser/Img/logo.png', 'name': 'Super User', 'site_type': 'main_site'}",True,300,62
3,"{'styling': {'tag_background_color': '#F7FDFF', 'tag_foreground_color': '#566E76', 'link_color': '#4E82C2'}, 'related_sites': [{'relation': 'chat', 'site_url': 'https://chat.meta.stackexchange.com', 'name': 'Meta Stack Exchange Chat'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1246147200, 'open_beta_date': 1246147200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://meta.stackexchange.com/Content/Sites/stackexchangemeta/Img/apple-touch-icon@2.png', 'favicon_url': 'https://meta.stackexchange.com/Content/Sites/stackexchangemeta/Img/favicon.ico', 'icon_url': 'https://meta.stackexchange.com/Content/Sites/stackexchangemeta/Img/apple-touch-icon.png', 'audience': 'meta-discussion of the Stack Exchange family of Q&amp;A websites', 'site_url': 'https://meta.stackexchange.com', 'api_site_parameter': 'meta', 'logo_url': 'https://meta.stackexchange.com/Content/Sites/stackexchangemeta/Img/logo.png', 'name': 'Meta Stack Exchange', 'site_type': 'main_site'}",True,300,62
4,"{'aliases': ['http://nothingtoinstall.com'], 'styling': {'tag_background_color': '#E2EDFA', 'tag_foreground_color': '#5D7A9C', 'link_color': '#426389'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'webapps.meta', 'site_url': 'https://webapps.meta.stackexchange.com', 'name': 'Web Applications Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=webapps.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'launch_date': 1285874037, 'open_beta_date': 1278529200, 'closed_beta_date': 1277924400, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/webapps/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWebApps', 'favicon_url': 'https://cdn.sstatic.net/Sites/webapps/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/webapps/Img/apple-touch-icon.png', 'audience': 'power users of web applications', 'site_url': 'https://webapps.stackexchange.com', 'api_site_parameter': 'webapps', 'logo_url': 'https://cdn.sstatic.net/Sites/webapps/Img/logo.png', 'name': 'Web Applications', 'site_type': 'main_site'}",True,300,62
5,"{'aliases': ['http://meta.nothingtoinstall.com', 'http://meta.webapps.stackexchange.com'], 'styling': {'tag_background_color': '#EBEBEB', 'tag_foreground_color': '#666', 'link_color': '#333C43'}, 'related_sites': [{'relation': 'parent', 'api_site_parameter': 'webapps', 'site_url': 'https://webapps.stackexchange.com', 'name': 'Web Applications Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=webapps.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'open_beta_date': 1311274880, 'site_state': 'linked_meta', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/webappsmeta/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/webappsmeta/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/webappsmeta/Img/apple-touch-icon.png', 'audience': 'power users of web applications', 'site_url': 'https://webapps.meta.stackexchange.com', 'api_site_parameter': 'webapps.meta', 'logo_url': 'https://cdn.sstatic.net/Sites/webappsmeta/Img/logo.png', 'name': 'Web Applications Meta', 'site_type': 'meta_site'}",True,300,62
6,"{'aliases': ['http://arqade.com', 'http://thearqade.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#666', 'link_color': '#5A8F53'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'gaming.meta', 'site_url': 'https://gaming.meta.stackexchange.com', 'name': 'Arqade Meta'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=gaming.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'launch_date': 1286391600, 'open_beta_date': 1279134000, 'closed_beta_date': 1278529200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/gaming/Img/apple-touch-icon@2.png', 'twitter_account': 'TheArqade', 'favicon_url': 'https://cdn.sstatic.net/Sites/gaming/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/gaming/Img/apple-touch-icon.png', 'audience': 'passionate videogamers on all platforms', 'site_url': 'https://gaming.stackexchange.com', 'api_site_parameter': 'gaming', 'logo_url': 'https://cdn.sstatic.net/Sites/gaming/Img/logo.png', 'name': 'Arqade', 'site_type': 'main_site'}",True,300,62
7,"{'aliases': ['http://meta.arqade.com', 'http://meta.thearqade.com', 'http://meta.gaming.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#666', 'link_color': '#666666'}, 'related_sites': [{'relation': 'parent', 'api_site_parameter': 'gaming', 'site_url': 'https://gaming.stackexchange.com', 'name': 'Arqade'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=gaming.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'open_beta_date': 1315582136, 'site_state': 'linked_meta', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/gamingmeta/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/gamingmeta/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/gamingmeta/Img/apple-touch-icon.png', 'audience': 'passionate videogamers on all platforms', 'site_url': 'https://gaming.meta.stackexchange.com', 'api_site_parameter': 'gaming.meta', 'logo_url': 'https://cdn.sstatic.net/Sites/gamingmeta/Img/logo.png', 'name': 'Arqade Meta', 'site_type': 'meta_site'}",True,300,62
8,"{'aliases': ['http://webmaster.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#1B8FBB', 'link_color': '#1C69A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'webmasters.meta', 'site_url': 'https://webmasters.meta.stackexchange.com', 'name': 'Webmasters Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=webmasters.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1286997420, 'open_beta_date': 1279220400, 'closed_beta_date': 1278615600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWebmasters', 'favicon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/apple-touch-icon.png', 'audience': 'pro webmasters', 'site_url': 'https://webmasters.stackexchange.com', 'api_site_parameter': 'webmasters', 'logo_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/logo.png', 'name': 'Webmasters', 'site_type': 'main_site'}",True,300,62
9,"{'aliases': ['http://meta.webmaster.stackexchange.com', 'http://meta.webmasters.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#666666', 'link_color': '#3D3D3D'}, 'related_sites': [{'relation': 'parent', 'api_site_parameter': 'webmasters', 'site_url': 'https://webmasters.stackexchange.com', 'name': 'Webmasters Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=webmasters.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'site_state': 'linked_meta', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/webmastersmeta/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/webmastersmeta/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/webmastersmeta/Img/apple-touch-icon.png', 'audience': 'pro webmasters', 'site_url': 'https://webmasters.meta.stackexchange.com', 'api_site_parameter': 'webmasters.meta', 'logo_url': 'https://cdn.sstatic.net/Sites/webmastersmeta/Img/logo.png', 'name': 'Webmasters Meta', 'site_type': 'meta_site'}",True,300,62
