,Parameter,url
0,stackoverflow,https://stackoverflow.com
1,serverfault,https://serverfault.com
2,superuser,https://superuser.com
3,meta,https://meta.stackexchange.com
4,webapps,https://webapps.stackexchange.com
5,webapps.meta,https://webapps.meta.stackexchange.com
6,gaming,https://gaming.stackexchange.com
7,gaming.meta,https://gaming.meta.stackexchange.com
8,webmasters,https://webmasters.stackexchange.com
9,webmasters.meta,https://webmasters.meta.stackexchange.com
10,cooking,https://cooking.stackexchange.com
11,cooking.meta,https://cooking.meta.stackexchange.com
12,gamedev,https://gamedev.stackexchange.com
13,gamedev.meta,https://gamedev.meta.stackexchange.com
14,photo,https://photo.stackexchange.com
15,photo.meta,https://photo.meta.stackexchange.com
16,stats,https://stats.stackexchange.com
17,stats.meta,https://stats.meta.stackexchange.com
18,math,https://math.stackexchange.com
19,math.meta,https://math.meta.stackexchange.com
20,diy,https://diy.stackexchange.com
21,diy.meta,https://diy.meta.stackexchange.com
22,meta.superuser,https://meta.superuser.com
23,meta.serverfault,https://meta.serverfault.com
24,gis,https://gis.stackexchange.com
25,gis.meta,https://gis.meta.stackexchange.com
26,tex,https://tex.stackexchange.com
27,tex.meta,https://tex.meta.stackexchange.com
28,askubuntu,https://askubuntu.com
29,meta.askubuntu,https://meta.askubuntu.com
30,money,https://money.stackexchange.com
31,money.meta,https://money.meta.stackexchange.com
32,english,https://english.stackexchange.com
33,english.meta,https://english.meta.stackexchange.com
34,stackapps,https://stackapps.com
35,ux,https://ux.stackexchange.com
36,ux.meta,https://ux.meta.stackexchange.com
37,unix,https://unix.stackexchange.com
38,unix.meta,https://unix.meta.stackexchange.com
39,wordpress,https://wordpress.stackexchange.com
40,wordpress.meta,https://wordpress.meta.stackexchange.com
41,cstheory,https://cstheory.stackexchange.com
42,cstheory.meta,https://cstheory.meta.stackexchange.com
43,apple,https://apple.stackexchange.com
44,apple.meta,https://apple.meta.stackexchange.com
45,rpg,https://rpg.stackexchange.com
46,rpg.meta,https://rpg.meta.stackexchange.com
47,bicycles,https://bicycles.stackexchange.com
48,bicycles.meta,https://bicycles.meta.stackexchange.com
49,softwareengineering,https://softwareengineering.stackexchange.com
50,softwareengineering.meta,https://softwareengineering.meta.stackexchange.com
51,electronics,https://electronics.stackexchange.com
52,electronics.meta,https://electronics.meta.stackexchange.com
53,android,https://android.stackexchange.com
54,android.meta,https://android.meta.stackexchange.com
55,boardgames,https://boardgames.stackexchange.com
56,boardgames.meta,https://boardgames.meta.stackexchange.com
57,physics,https://physics.stackexchange.com
58,physics.meta,https://physics.meta.stackexchange.com
59,homebrew,https://homebrew.stackexchange.com
60,homebrew.meta,https://homebrew.meta.stackexchange.com
61,security,https://security.stackexchange.com
62,security.meta,https://security.meta.stackexchange.com
63,writing,https://writing.stackexchange.com
64,writing.meta,https://writing.meta.stackexchange.com
65,video,https://video.stackexchange.com
66,video.meta,https://video.meta.stackexchange.com
67,graphicdesign,https://graphicdesign.stackexchange.com
68,graphicdesign.meta,https://graphicdesign.meta.stackexchange.com
69,dba,https://dba.stackexchange.com
70,dba.meta,https://dba.meta.stackexchange.com
71,scifi,https://scifi.stackexchange.com
72,scifi.meta,https://scifi.meta.stackexchange.com
73,codereview,https://codereview.stackexchange.com
74,codereview.meta,https://codereview.meta.stackexchange.com
75,codegolf,https://codegolf.stackexchange.com
76,codegolf.meta,https://codegolf.meta.stackexchange.com
77,quant,https://quant.stackexchange.com
