,Popularity,Skills
0,2006214,javascript
1,1671870,java
2,1427762,python
3,1405639,c#
4,1350182,php
5,1273184,android
6,990544,html
7,985947,jquery
8,670737,c++
9,662336,css
10,629651,ios
11,595897,mysql
12,541978,sql
13,355586,asp.net
14,343947,r
15,330071,c
16,328963,arrays
17,327260,node.js
18,317351,ruby-on-rails
19,296432,.net
20,290788,json
21,289858,objective-c
22,284576,sql-server
23,265755,swift
24,260398,angularjs
25,230620,django
26,227901,python-3.x
27,225983,regex
28,221498,excel
29,220358,iphone
30,215612,angular
31,213103,ruby
32,211263,reactjs
33,208564,ajax
34,193035,xml
35,189485,linux
36,188926,asp.net-mvc
37,168545,spring
38,167311,database
39,164587,vba
40,162361,wordpress
41,156180,wpf
42,152111,string
43,150641,pandas
44,145749,laravel
45,141651,xcode
46,140346,windows
47,129709,vb.net
48,129476,mongodb
49,124353,bash
50,122646,multithreading
51,122115,oracle
52,122015,git
53,119604,eclipse
54,116983,postgresql
55,113555,typescript
56,101126,forms
57,100962,list
58,99393,algorithm
59,99317,macos
60,99233,image
61,98104,twitter-bootstrap
62,97536,scala
63,95294,visual-studio
64,93389,amazon-web-services
65,93273,python-2.7
66,89999,firebase
67,88748,winforms
68,87979,performance
69,87570,matlab
70,86884,apache
71,86873,azure
72,84436,facebook
73,83870,entity-framework
74,83585,function
75,82800,hibernate
76,82455,sqlite
77,81791,spring-boot
78,80536,powershell
79,78742,excel-vba
80,78142,linq
81,77689,api
82,77511,rest
83,76901,shell
84,76374,docker
85,75703,swing
86,75109,qt
87,74951,react-native
88,74198,numpy
89,73724,selenium
90,73555,maven
91,71806,loops
92,69562,unit-testing
93,69449,file
94,69370,csv
95,68299,dataframe
96,67898,.htaccess
97,66457,codeigniter
98,66057,android-studio
99,65733,symfony
100,65069,class
101,64842,perl
102,63839,express
103,62725,google-maps
104,62670,google-chrome
105,62362,tsql
106,61981,sorting
107,61843,uitableview
108,61534,date
109,60378,cordova
110,59647,web-services
111,59452,validation
112,59370,apache-spark
113,58766,sockets
114,57438,http
115,56877,opencv
116,56339,vue.js
117,56207,tensorflow
118,55967,ruby-on-rails-3
119,55558,xaml
120,54978,android-layout
121,54294,dictionary
122,54111,datetime
123,53577,spring-mvc
124,53515,sql-server-2008
125,52826,email
126,52009,oop
127,51029,for-loop
128,50972,c++11
129,50866,jsp
130,50733,object
131,50466,unity3d
132,49990,security
133,49945,parsing
134,49886,wcf
135,49684,listview
136,49155,ubuntu
137,48556,user-interface
138,47960,batch-file
139,47719,matplotlib
140,46977,pointers
141,46857,if-statement
142,46636,visual-studio-2010
143,46369,templates
144,46091,ms-access
145,45893,go
146,45714,delphi
147,45600,asp.net-core
148,45456,variables
149,45112,authentication
150,45031,flutter
151,44795,google-app-engine
152,44502,debugging
153,44360,elasticsearch
154,43879,haskell
155,43271,unix
156,42611,pdf
157,42430,ssl
158,42259,jpa
159,42127,asp.net-mvc-4
160,41993,android-fragments
161,41946,session
162,41938,hadoop
163,41606,xamarin
164,41312,actionscript-3
165,41273,nginx
166,40783,generics
167,40495,jenkins
168,40226,asynchronous
169,39860,tomcat
170,39727,machine-learning
171,39619,kotlin
172,39228,testing
173,39160,jquery-ui
174,39031,ionic-framework
175,38903,cocoa
176,38886,web
177,38578,asp.net-mvc-3
178,38569,selenium-webdriver
179,38568,internet-explorer
180,38477,animation
181,38426,url
182,38182,gradle
183,38015,github
184,37719,magento
185,37680,curl
186,36849,recursion
187,36802,laravel-5
188,36533,ruby-on-rails-4
189,36373,inheritance
190,36247,flask
191,36150,exception
192,36013,redirect
193,36011,firefox
194,35785,winapi
195,35614,post
196,35543,math
197,35507,d3.js
198,35406,join
199,35207,flash
200,35069,svg
201,34936,image-processing
202,34926,jsf
203,34839,heroku
204,34819,dom
205,34632,cocoa-touch
206,34560,ipad
207,34474,amazon-s3
208,34409,opengl
209,34326,select
210,34156,xslt
211,34146,gcc
212,34134,ggplot2
213,34101,assembly
214,34081,intellij-idea
215,34063,events
216,34055,button
217,33899,facebook-graph-api
218,33884,iis
219,33765,logging
220,33719,caching
221,33468,asp.net-web-api
222,33389,matrix
223,33339,javafx
224,32951,search
225,32697,stored-procedures
226,32427,networking
227,32255,xpath
228,32174,servlets
229,32140,npm
230,31697,google-apps-script
231,31518,canvas
232,31349,encryption
233,31294,audio
