,Software Engineering,"Web, Mobile, and Desktop Application ...",Artificial Intelligence,Special Technologies and Expertise Areas,APIs and Packages,Electrical and Mechanical Engineering,Other Skills
0,.NET,AJAX,Artificial intelligence,.obj files,ADA Compliance,.dxf files,ARM
1,.NET Core,AMQP Messaging Queue,Autonomous Vehicles and Self Driving ...,3D Configurators (Verge3D),AMBER Molecular Dynamics Software,ANSYS,AWS
2,Ansible,ASP.NET,BluePrism,3D modeling,AWS Cloud Compliance,AutoCAD,AWS CloudFront
3,Apache Kafka,Android Studio,Computer vision,3Dmax,Adobe AIR,Autodesk,AWS DynamoDB
4,Apache Mesos,Android native app development,Data mining,Adobe Creative Cloud,Apache Hadoop,Digital Manufacturing,AWS EC2
5,AppleScript,Angular,Deep learning,Adobe Illustrator,Biopython,Hypermesh,AWS ECR
6,Assembly,Apollo GraphQL,Drones,Adobe Premiere Pro,Blockchain API,Intel x86,AWS Elastic Beanstalk
7,Bash,Babel JS,KNIME,Adobe XD,Chatfuel,LabVIEW,AWS ElasticMapReduce
8,C,Backbone,Machine learning,Affinity Design,D3,MATLAB,AWS Elasticsearch
9,C#,Big Table,Natural language processing,Agile,Facebook API,Medical Devices,AWS IoT
10,C++,Bootstrap,OCR,Amazon Lumberyard,Finance Cloud Compliance,RFID,AWS Key Management Service
11,COBOL,Bubble,Probabilistic graphical models,Android Wear,Github API,RISC-V,AWS Lambda
12,CSS,Bulma,PyTorch,Apache Jmeter,Google API,SPICE (ic design),AWS RDS
13,Clojure,CSS Flex,Quadrocopters,Apache Spark,Google Computer Vision API,SolidWorks,AWS Redshift
14,Compilers,CSS preprocessors,RPA,Apex,Google Maps API,VHDL,AWS S3
15,Dart,Cassandra,Reinforcement learning,Appium for QA Testing,Google NLP API,Verilog,Actuate Espreadsheet
16,Debuggers,Chai,Robotics,Augmented Reality AR,Government Cloud Compliance (US DoD),,Amazon ElastiCache
17,DevSecOps,ChartJS,Speech recognition,Autodesk Maya,HIPAA Cloud Compliance,,Arduino
18,Docker,Chef,Torch,Autodesk Revit,Mailchimp API,,Asana
19,Elixir,Chrome Extension Development,UIPath,Bioinformatics,Mapbox,,Autosys
20,Erlang,Cocoa,keras,Blockchain,Matplotlib,,Azure
21,Fortran,Contentful,,Browser automation,Microsoft Office API,,Blue State Digital
